name,rank,artist,year,id,length,danceability,energy,key,loudness,speechiness,acousticness,liveness,valence,tempo
Glamorous,10,"['Fergie', 'Ludacris']",2007,4KTtYhxFtFL7mBwnjkKfLm,246.573,0.81,0.755,0,-6.408,0.201,0.288,0.0857,0.623,130.99
Don't Matter,11,['Akon'],2007,6G8kHiVZ1jW7vHMPVRNZU0,245.786,0.822,0.318,10,-12.391,0.0575,0.493,0.11,0.138,102.998
Girlfriend,12,['Avril Lavigne'],2007,45hOioMDJktr86iKDHC8gr,216.6,0.56,0.959,7,-2.433,0.102,0.000722,0.209,0.669,163.983
Makes Me Wonder,13,['Maroon 5'],2007,1lHXlGlve5Zx8tXLhyjDwM,211.08,0.803,0.851,7,-2.429,0.0357,0.00485,0.0577,0.881,113.996
Party Like A Rockstar,14,['Shop Boyz'],2007,1IYaMVfidzSfvCUZYXhsU1,253.4,0.619,0.709,7,-4.633,0.0395,0.00541,0.507,0.68,144.972
Smack That,15,"['Akon', 'Eminem']",2007,2kQuhkFX7uSVepCD3h29g5,212.36,0.939,0.742,5,-5.171,0.0467,0.321,0.107,0.924,118.978
This Is Why I'm Hot,16,['Mims'],2007,0AA6zq5ArZ1sSH7VIMi4NK,253.706,0.621,0.6,8,-6.349,0.576,0.277,0.495,0.485,80.021
It's Not Over,17,['Daughtry'],2007,234RqTZmnDTnxWlVciXHLD,215.026,0.428,0.919,10,-3.245,0.0618,0.0503,0.245,0.294,145.927
The Way I Are,18,"['Timbaland', 'Keri Hilson']",2007,2bLqfJjuC5syrsgDsZfGmn,179.12,0.731,0.807,3,-6.492,0.1,0.181,0.319,0.765,114.759
Fergalicious,19,['Fergie'],2007,1D066zixBwqFYqBhKgdPzp,292.373,0.906,0.584,8,-7.72,0.316,0.0576,0.128,0.831,129.055
Crank That (Soulja Boy),20,"[""Soulja Boy Tell'em""]",2007,66TRwr5uJwPt15mfFkzhbi,221.933,0.736,0.74,0,-2.18,0.0786,0.515,0.0468,0.803,140.141
Give It To Me,21,"['Timbaland', 'Nelly Furtado', 'Justin Timberlake']",2007,0wbDgMuAoy7O7pL3a69uZx,234.026,0.975,0.711,8,-3.904,0.0632,0.168,0.0799,0.815,110.621
What Goes Around...Comes Around,22,['Justin Timberlake'],2007,3pD0f7hSJg2XdQ6udw5Tey,448.573,0.687,0.723,7,-4.751,0.0709,0.122,0.573,0.432,76
Cupid's Chokehold/Breakfast In America,23,"['Gym Class Heroes', 'Patrick Stump']",2007,2Lhdl74nwwVGOE2Gv35QuK,243.773,0.72,0.744,1,-6.938,0.12,0.237,0.255,0.619,78.953
How To Save A Life,24,['The Fray'],2007,5fVZC9GiM4e8vu99W0Xf6J,262.533,0.64,0.743,10,-4.08,0.0379,0.269,0.101,0.361,122.035
Home,25,['Daughtry'],2007,2mobr1UlKjhxDTOVqng3jw,255.666,0.443,0.853,6,-3.885,0.0361,0.00217,0.198,0.338,143.986
My Love,26,"['Justin Timberlake', 'T.I.']",2007,4NeOWqHmlrGRuBvsLJC9rL,276.16,0.771,0.68,11,-5.881,0.224,0.277,0.682,0.808,119.952
Stronger,27,['Kanye West'],2007,4fzsfWzRhPawzqhX8Qt9F3,311.866,0.617,0.717,10,-7.858,0.153,0.00564,0.408,0.49,103.992
We Fly High,28,['Jim Jones'],2007,3RGyFugqjQjlL8XX0NW8dZ,236.08,0.506,0.799,1,-6.58,0.38,0.0791,0.0929,0.461,120.405
U + Ur Hand,29,['P!nk'],2007,1iOJQhxKSJ7dg3Dk03yPnl,214.386,0.709,0.891,0,-3.688,0.0528,0.00144,0.034,0.886,141.04
Walk It Out,30,['Unk'],2007,6PBAPjshd2JfEiWpdf3C2a,173.04,0.794,0.777,1,-3.696,0.0813,0.0982,0.202,0.706,160.022
Beautiful Girls,31,['Sean Kingston'],2007,1hGy2eLcmC8eKx7qr1tOqx,225.373,0.762,0.661,1,-6.075,0.0687,0.15,0.256,0.769,130.009
"This Ain't A Scene, It's An Arms Race",32,['Fall Out Boy'],2007,1oagRT7LfpVlNJN6FSZDGp,212.04,0.435,0.887,9,-4.07,0.0636,0.000747,0.0327,0.408,199.935
Bartender,33,"['T-Pain', 'Akon']",2007,1RGIjMFMgJxkZHMDXVYzOJ,238.8,0.832,0.391,8,-8.504,0.0628,0.0564,0.224,0.436,104.961
"Pop, Lock & Drop It",34,['Huey'],2007,6DbqCKweKwVkHgRv1CI53D,261.026,0.723,0.644,11,-6.863,0.222,0.00308,0.352,0.645,144.09
Runaway Love,35,"['Ludacris', 'Mary J. Blige']",2007,3QnEp4rluCxUwgpXT43jmC,280.68,0.405,0.721,1,-6.97,0.283,0.329,0.252,0.815,92.854
